"group_code","group_name","country_code"
"Arab League","Arab League","SA"
"Arab League","Arab League","SD"
"Arab League","Arab League","SY"
"Arab League","Arab League","TN"
"Arab League","Arab League","YE"
"ASEAN","Association of Southeast Asian Nations","BN"
"ASEAN","Association of Southeast Asian Nations","CN"
"ASEAN","Association of Southeast Asian Nations","ID"
"ASEAN","Association of Southeast Asian Nations","JP"
"ASEAN","Association of Southeast Asian Nations","KH"
"ASEAN","Association of Southeast Asian Nations","KR"
"ASEAN","Association of Southeast Asian Nations","LA"
"ASEAN","Association of Southeast Asian Nations","MM"
"ASEAN","Association of Southeast Asian Nations","MY"
"ASEAN","Association of Southeast Asian Nations","PH"
"ASEAN","Association of Southeast Asian Nations","SG"
"ASEAN","Association of Southeast Asian Nations","TH"
"ASEAN","Association of Southeast Asian Nations","VN"
"BASIC","BASIC","BR"
"BASIC","BASIC","CN"
"BASIC","BASIC","IN"
"BASIC","BASIC","ZA"
"BIMSTEC","BIMSTEC","BD"
"BIMSTEC","BIMSTEC","BT"
"BIMSTEC","BIMSTEC","IN"
"BIMSTEC","BIMSTEC","LK"
"BIMSTEC","BIMSTEC","MM"
"BIMSTEC","BIMSTEC","NP"
"BIMSTEC","BIMSTEC","TH"
"BRIC","BRIC","BR"
"BRIC","BRIC","CN"
"BRIC","BRIC","IN"
"BRIC","BRIC","RU"
"BRICS","BRICS","BR"
"BRICS","BRICS","CN"
"BRICS","BRICS","IN"
"BRICS","BRICS","RU"
"BRICS","BRICS","ZA"
"CARICOM","Caribbean Community","AG"
"CARICOM","Caribbean Community","BB"
"CARICOM","Caribbean Community","BS"
"CARICOM","Caribbean Community","BZ"
"CARICOM","Caribbean Community","DM"
"CARICOM","Caribbean Community","GD"
"CARICOM","Caribbean Community","GY"
"CARICOM","Caribbean Community","HT"
"CARICOM","Caribbean Community","JM"
"CARICOM","Caribbean Community","KN"
"CARICOM","Caribbean Community","LC"
"CARICOM","Caribbean Community","MS"
"CARICOM","Caribbean Community","SR"
"CARICOM","Caribbean Community","TT"
"CARICOM","Caribbean Community","VC"
"CEE","CEE","AM"
"CEE","CEE","AT"
"CEE","CEE","AZ"
"CEE","CEE","BY"
"CEE","CEE","CH"
"CEE","CEE","CZ"
"CEE","CEE","DE"
"CEE","CEE","GE"
"CEE","CEE","HR"
"CEE","CEE","HU"
"CEE","CEE","KZ"
"CEE","CEE","LI"
"CEE","CEE","PL"
"CEE","CEE","RU"
"CEE","CEE","SI"
"CEE","CEE","SK"
"CEE","CEE","UA"
